experiment_id,preprocessing,vectorization,sampling,model,accuracy,f1_score,precision,recall,f1_toxic,f1_non_toxic,best_threshold,accuracy_tuned,f1_tuned,precision_tuned,recall_tuned,duration_seconds,timestamp,error
1,minimal,tfidf_basic,none,Logistic Regression (Balanced),0.9263861461339815,0.731464036351546,0.6252368321333839,0.8811748998664887,0.731464036351546,0.9573468058513915,0.7500000000000002,0.9528786267659122,0.7876215254005203,0.80831928049466,0.7679572763684913,0.65033,2025-10-02 23:58:17,
2,minimal,tfidf_basic,none,Logistic Regression (C=0.1),0.915145070636488,0.6990626010128219,0.5859826589595376,0.8662216288384512,0.6990626010128219,0.9506092061751755,0.6500000000000001,0.9447060610663831,0.7555734622616169,0.7600648473385572,0.7511348464619493,0.399746,2025-10-02 23:58:17,
3,minimal,tfidf_basic,none,Logistic Regression (C=10),0.9230745860549902,0.7219415769822095,0.6131318783808991,0.8777036048064085,0.7219415769822095,0.9553628093928496,0.8500000000000002,0.9545799787331004,0.7897031931354621,0.834423305588585,0.7495327102803738,0.947647,2025-10-02 23:58:18,
4,minimal,tfidf_basic,none,Random Forest (100 trees),0.9343764241227404,0.6247394023627519,0.8940825459970164,0.4801068090787717,0.6247394023627519,0.9640443453074541,0.25000000000000006,0.9359562509494151,0.7258777633289987,0.7074778200253485,0.7452603471295061,112.842016,2025-10-03 00:00:11,
5,minimal,tfidf_basic,none,Random Forest (200 trees),0.8082029469846574,0.475620898745743,0.34518929346515553,0.7644859813084112,0.475620898745743,0.8826383595768809,0.6000000000000002,0.9154185022026432,0.5812274368231047,0.6655184292111609,0.5158878504672897,26.074765,2025-10-03 00:00:37,
6,minimal,tfidf_basic,none,Naive Bayes,0.9433085219504785,0.6814612495732332,0.9446284902981543,0.532977303070761,0.6814612495732332,0.9688854798906156,0.30000000000000004,0.9461339814674161,0.7412811907193929,0.8172458172458172,0.678237650200267,0.148446,2025-10-03 00:00:37,
7,minimal,tfidf_basic,none,Naive Bayes (alpha=0.1),0.9439161476530458,0.6877537212449256,0.9381633594831564,0.5428571428571428,0.6877537212449256,0.9691912280116158,0.30000000000000004,0.9446452984961264,0.7375396139441083,0.8007507037847983,0.6835781041388518,0.153782,2025-10-03 00:00:37,
8,minimal,tfidf_basic,none,XGBoost,0.9530609144766824,0.7544891148895598,0.9317111459968603,0.6339118825100134,0.7544891148895598,0.9740497505752725,0.25000000000000006,0.9534862524684794,0.7857842451378201,0.8253968253968254,0.7497997329773031,33.069038,2025-10-03 00:01:11,
9,minimal,tfidf_basic,none,XGBoost (Tuned),0.9494759228315358,0.7269742242653094,0.9437340153452686,0.5911882510013351,0.7269742242653094,0.9721622390733022,0.25000000000000006,0.9528178641956555,0.7770279971284997,0.8403726708074534,0.7225634178905207,64.452653,2025-10-03 00:02:15,
10,minimal,tfidf_basic,none,LightGBM,0.9536685401792496,0.7593498500867919,0.9282407407407407,0.642456608811749,0.7593498500867919,0.9743667322205973,0.25000000000000006,0.9534558711833511,0.7881637168141593,0.8173214797820476,0.7610146862483311,18.499323,2025-10-03 00:02:33,
11,minimal,tfidf_basic,none,LightGBM (Tuned),0.9499316421084611,0.7291255752794215,0.9482684908080377,0.5922563417890521,0.7291255752794215,0.9724165634519466,0.25000000000000006,0.9535166337536077,0.7801724137931034,0.8444790046656299,0.7249666221628839,18.098816,2025-10-03 00:02:52,
12,minimal,tfidf_basic,random_oversample,Logistic Regression (Balanced),0.9272064408324472,0.733125417687681,0.6288935600993694,0.8787716955941255,0.733125417687681,0.9578554844156758,0.8000000000000002,0.9553091295761811,0.7913771096298398,0.8439201451905626,0.7449933244325768,1.73237,2025-10-03 00:02:53,
13,minimal,tfidf_basic,random_oversample,Logistic Regression (C=0.1),0.9201883639677958,0.7134911113534737,0.6030604719764012,0.8734312416555408,0.7134911113534737,0.9536365401246006,0.7000000000000002,0.9488682971289686,0.7660875608061154,0.7988405797101449,0.7359145527369827,1.065206,2025-10-03 00:02:54,
14,minimal,tfidf_basic,random_oversample,Logistic Regression (C=10),0.9228315357739633,0.7194610117075326,0.6134865323036354,0.8696929238985314,0.7194610117075326,0.9552627870931379,0.8500000000000002,0.9538204466048914,0.7876501816149762,0.8259595663639028,0.7527369826435247,1.534963,2025-10-03 00:02:56,
15,minimal,tfidf_basic,random_oversample,Random Forest (100 trees),0.9385082789001975,0.6725978647686833,0.8530980713992614,0.5551401869158878,0.6725978647686833,0.9660675965665236,0.3500000000000001,0.9379310344827586,0.7243287005802186,0.7321331151118385,0.7166889185580775,289.131168,2025-10-03 00:07:45,
16,minimal,tfidf_basic,random_oversample,Random Forest (200 trees),0.8033419413641197,0.47625212395824906,0.3416531228233109,0.7858477970627503,0.47625212395824906,0.8789437265059565,0.6000000000000002,0.9163907033267508,0.5938606847697757,0.6638073243154075,0.5372496662216288,53.461132,2025-10-03 00:08:39,
17,minimal,tfidf_basic,random_oversample,Naive Bayes,0.880054686313231,0.6224899598393574,0.4848800834202294,0.8691588785046729,0.6224899598393574,0.9287004262081918,0.7500000000000002,0.9430047090991949,0.736294630306438,0.7773820124666073,0.6993324432576769,0.220968,2025-10-03 00:08:39,
18,minimal,tfidf_basic,random_oversample,Naive Bayes (alpha=0.1),0.8804800243050281,0.6225292650163117,0.48584693724726674,0.8662216288384512,0.6225292650163117,0.9289994224660699,0.8000000000000002,0.9465593194592131,0.7349706192556879,0.8433609958506224,0.6512683578104139,0.197109,2025-10-03 00:08:39,
19,minimal,tfidf_basic,random_oversample,XGBoost,0.9246240315965365,0.7106030561063805,0.6309030654515327,0.8133511348464619,0.7106030561063805,0.9566690535655029,0.6500000000000001,0.9487771532735835,0.7638655462184873,0.803240058910162,0.7281708945260347,39.179444,2025-10-03 00:09:18,
20,minimal,tfidf_basic,random_oversample,XGBoost (Tuned),0.9207352271001064,0.6993200414889938,0.6151662611516626,0.8101468624833111,0.6993200414889938,0.9543506027680086,0.6500000000000001,0.9474707580130639,0.7515447621784739,0.813627878033603,0.69826435246996,73.959433,2025-10-03 00:10:32,
21,minimal,tfidf_basic,random_oversample,LightGBM,0.922983442199605,0.7118990794408455,0.6197071626434507,0.8363150867823765,0.7118990794408455,0.9555504900843401,0.7000000000000002,0.9524532887741152,0.7758200830826529,0.8368355995055624,0.7230974632843792,23.480927,2025-10-03 00:10:56,
22,minimal,tfidf_basic,random_oversample,LightGBM (Tuned),0.9201276013975391,0.6977813541786412,0.612636253532499,0.8104138851802403,0.6977813541786412,0.9539829514624285,0.6500000000000001,0.947896096004861,0.7539101736260583,0.8148263027295285,0.7014686248331108,24.422781,2025-10-03 00:11:20,
